run_number,execution_method,execution_time,flag,SIZE
1,cpp,.363397,o0,250000
1,cpp,.324178,o3,250000
1,python,1.07172,NA,250000
1,codon,.443850,NA,250000
2,cpp,.383677,o0,250000
2,cpp,.252353,o3,250000
2,python,1.176704,NA,250000
2,codon,.316219,NA,250000
3,cpp,.3737578,o0,250000
3,cpp,.263209,o3,250000
3,python,1.1845897,NA,250000
3,codon,.313314,NA,250000
4,cpp,.327012,o0,250000
4,cpp,.2465008,o3,250000
4,python,1.162455,NA,250000
4,codon,.327907,NA,250000
5,cpp,.3564696,o0,250000
5,cpp,.2475439,o3,250000
5,python,1.170164,NA,250000
5,codon,.5033312,NA,250000
6,cpp,.335177,o0,250000
6,cpp,.253248,o3,250000
6,python,1.095987,NA,250000
6,codon,.432448,NA,250000
7,cpp,.342573,o0,250000
7,cpp,.2870061,o3,250000
7,python,1.277361,NA,250000
7,codon,.315102,NA,250000
8,cpp,.3564228,o0,250000
8,cpp,.274977,o3,250000
8,python,1.155120,NA,250000
8,codon,.353944,NA,250000
9,cpp,.348975,o0,250000
9,cpp,.306655,o3,250000
9,python,1.1164281,NA,250000
9,codon,.414663,NA,250000
10,cpp,.3551900,o0,250000
10,cpp,.2784069,o3,250000
10,python,1.1639709,NA,250000
10,codon,.319968,NA,250000
C++ Mean Execution Time: 0.354265 seconds
C++ Mean Execution Time: 0.273408 seconds
Python Mean Execution Time: 1.15745 seconds
Codon Mean Execution Time: 0.374075 seconds